Name,team,salary,position,years,height,weight,bloodType,throw.by,batting.by,birth.place,birth.day,背番号,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,防御率,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
涌井　秀章,Lotte,2e4,投手,14,185,85,A型,右,右,千葉,1986-06-21,16,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,4,6,0,0,0.4,454,108.1,111,10,35,2,77,49,47,1.35,3.81
藤岡　貴裕,Lotte,3400,投手,7,183,85,AB型,左,左,群馬,1989-07-17,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
唐川　侑己,Lotte,5600,投手,11,181,80,O型,右,右,千葉,1989-07-05,19,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.48,1,3,0,0,0.25,92,23,22,5,6,0,18,15,14,1.22,5.16
東條　大樹,Lotte,1200,投手,3,177,81,O型,右,右,神奈川,1991-08-15,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
内　竜也,Lotte,4500,投手,15,182,87,A型,右,右,神奈川,1985-07-13,21,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.93,1,3,21,6,0.25,154,40,29,2,10,0,40,13,13,0.98,2.37
田村　龍弘,Lotte,5700,捕手,6,174,80,A型,右,右,大阪,1994-05-13,22,0.245,83,293,253,62,1,17,3,26,1,40,12,6,0.317,0.312,0.629,3.32,3.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
酒居　知史,Lotte,2250,投手,2,178,80,A型,右,右,大阪,1993-01-02,23,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.94,2,3,0,0,0.4,224,50,56,8,22,1,25,33,33,1.56,5.58
吉田　裕太,Lotte,1580,捕手,5,183,94,O型,右,右,千葉,1991-07-21,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
金澤　岳,Lotte,1040,捕手,16,180,82,O型,右,左,栃木,1984-05-05,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
山本　大貴,Lotte,1150,投手,1,182,80,B型,左,左,北海道,1995-11-10,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
